zip_code,sumtotal
20815,394566.57
60601,345019
10024,220831.5
90024,201207.84
20814,177963
60611,174939
94126,170100
60302,168502
90210,151146
94115,132932.68
20007,121895
90064,120500.34
12572,103798
02116,93308
92037,88871.53
94062,87979
06830,84422
91604,80290.5
10128,79192
90402,77242.03
94301,77099
94111,76539
10019,75239.96
02108,74800
87506,71820
90272,71650.55
94114,71193
01778,71146
10023,69961.68
10011,69148.18
02421,67146.99
22101,65554.04000000001
20008,65545.5
60614,61638
90067,61210.1
02138,61094.18
10583,60912
37215,59285
02114,57857.5
94118,56842
94027,56041
80302,55901
06525,55813
20016,55733
94707,55390.5
10028,54603.16
10021,54453.46
90025,54184
20001,53417.18
90212,53354.63
90049,52566.07
22936,50634
75029,50000
90077,46049.91
95818,45628
94121,45564.5
63124,45397
28801,45262
94123,45053
94941,44941
20015,41311
10025,41033
94306,40904
08540,40888
19103,40668.18
98033,40505
17402,40460
94109,40306
80206,39709
94611,39560.5
02478,39451.5
11201,37974.5
91302,37873
22301,37778.66
60093,37520
98004,37454
60640,37229
03833,37045
78702,36264
06877,35935
33446,35533.5
46032,35525
10017,35404
92038,35015
20009,34913.5
22207,34879.5
95826,34842
02738,34835
06058,34575
55436,34553
90069,34364.06
90291,34356.02
60077,34279
78705,34101
73102,33900
91522,33900
98110,33363
10003,31985.5
94117,31960.5
10014,31197.5
14620,31158
20817,29597
94920,29547.53
98020,29262.5
20912,29126
90026,28305.34
94705,28291
90068,28078.96
11937,27945
20854,27346.5
95070,26653.66
19106,26385
07701,26163
94708,26130
98115,26010
02109,25968
33480,25765
98112,25694.25
98372,25430
60613,25379
92651,25327
94104,25275
60091,24801
95448,24609.5
22102,23750
91364,23662
02493,23026
94110,22706.6
0,22104
94304,22046.98
14850,21982
10065,21863
94904,21609.66
92029,21408.6
06067,21350
22201,21008
02445,20915
89451,20818
95005,20808
94549,20669
98103,20638
78212,20581
10075,20328
98499,20325
07626,20100
02446,19873
93108,19841.42
94618,19737
48104,19703
20010,19584.68
02459,19582.5
95616,19340
10012,19308
98225,18982
20852,18677
97202,18326
90403,18139.98
60035,18087
02130,18069
80304,18048.5
10022,17726.5
94610,17642
91320,17635
28803,17528.18
97210,17523
11215,17277.9
94131,17064
90046,16997.5
06880,16971.5
20910,16936
94025,16715
94022,16697.18
22314,16668
20011,16424
94563,16363.66
94010,15919
10016,15890.32
90265,15818.96
94028,15777
98027,15775
48105,15693
94087,15636
94402,15627
94107,15605.17
27705,15543.5
60610,15343
78746,15338.82
91011,15135
60201,15064
90266,15053
87111,15030
94024,14957
02467,14765
48103,14710
20037,14604
98177,14429.5
98101,14332
01240,14291
30307,14209
27517,14161
10010,14122.5
15217,14059
01742,14039
95819,13728.75
98102,13675
97229,13615
27514,13549
98040,13444
94939,13389
10538,13355
33141,13345
94303,13289.5
91001,13239.5
10708,13116.17
95060,13083
90405,13042.18
98116,12933
NA,12892.82
91436,12789.95
33140,12721
78703,12694
11238,12683.5
94040,12621
94129,12525
92104,12500
94103,12319
11217,12159.5
22066,12105
02906,12072.18
76104,12000
02806,11886
11231,11849
06850,11845
95409,11837
46825,11750
97219,11745.5
19355,11736
94305,11684
20003,11604
81201,11575
06870,11506
62704,11497
01060,11461.5
17601,11418
76102,11401
98109,11378
91423,11339.92
60657,11311
20816,11266.55
90274,11181.46
91711,11165.5
06878,11143
95472,11044
48170,11031
76103,10950
77043,10895
21117,10882.18
19087,10868.220000000001
33408,10850
94710,10850
20002,10716
98074,10627
98144,10591
98039,10575
02111,10566
94042,10540
89134,10480
02476,10417
10013,10399.66
98117,10392.7
21201,10390
80027,10380
97103,10375
32836,10350
80513,10322
77005,10281.5
02171,10270
22046,10115
97239,10096
10154,10000
97520,9958
06902,9943
97214,9938
95608,9881.84
60622,9813
20904,9779
99207,9755
20005,9725.5
06511,9710
78731,9709
29205,9681
90071,9674.98
97405,9621.5
98105,9572.25
94043,9539
06831,9531
06517,9510
94105,9494.5
89423,9450
94903,9449
02140,9304
40207,9291
06105,9235
94550,9154
02482,9095
93117,9028.75
90027,9022.34
95945,9014.36
92677,8972.18
91214,8951
96753,8936
20903,8875
85719,8857
78209,8852
27516,8846
07960,8752
10027,8733
18940,8721
95125,8721
91367,8715
95864,8709
97330,8690
94965,8678
21208,8638
94901,8623
94122,8614
07086,8589
98052,8544.5
