zip,sumtotal
33480,855067.1
59808,773585
72201,603500
93311,489700
89107,345520
74119,293500
92614,273500
10019,265725
59715,265350
90274,257726.75
30041,254755
10022,254430
33140,253740
75219,252770
94062,249250
36124,248500
40513,248500
06880,246000
63376,245250
33139,242400
33511,238800
10017,227250
68131,213000
06840,200950
33402,191600
75225,184670
79101,150000
95014,135331
20006,130000
29302,125000
94118,124755
90210,122910
32789,122610
78669,121365
78801,121100
91101,120150
29601,119400
75205,117880
27408,113955
33483,111720
33432,107750
24202,106750
34108,104115
23229,101000
27330,100500
21212,100000
21230,100000
75033,100000
90212,100000
33160,98755
89052,98710
36255,96400
84103,95120
95441,95000
10974,94400
33496,90470
48047,89910
33309,88800
37419,88800
83340,86580
10014,81500
33487,78775
92660,77635
83002,76220
90049,75840
10021,73245
46544,69650
10178,69500
19807,65650
24016,64400
75201,59800
97055,56615
75220,52035
94105,50500
14610,50300
14604,50000
44135,50000
75251,49800
48230,49545
33418,49125
33410,48600
33469,48050
60611,47680
92014,47000
22066,46615
78232,45250
91324,45000
53147,44675
38113,44400
88201,44400
27858,43835
79765,42477.4
27262,41250
68154,40605
10036,40510
70005,40250
68132,40000
85255,39175
10128,38030
33137,37800
77027,37335
80303,37000
92780,36985
94109,36520
94549,36520
85711,36500
90064,36500
80209,36275
75024,36255
94539,36095
29223,36000
90017,36000
79118,35845
53563,35755
98032,35650
33706,35583.3
90405,35560
53217,35525
06870,35500
10167,35500
10463,35500
19406,35500
49512,35500
72221,35500
76504,35500
90716,35500
43015,35450
02176,35300
44124,34000
07924,32270.31
85253,32270
06378,31241
60044,30675
77062,30067
70301,30005
95036,29900
94108,29874.6
07950,29400
11020,29400
92651,29130
91767,26400
34145,26165
32792,25560
33154,25395
20124,25300
59718,25200
94597,25000
93711,23800
10065,22150
44622,21422.5
31804,20800
65803,20600
07006,20260
19096,20250
98039,20250
77024,20015
46804,20000
47202,19752.7
44281,19650
79705,19600
61615,19075
20817,19000
27834,18800
33756,18355
39441,18150
32963,18100
85018,17825
28117,17645
33146,17250
45243,16727.3
21093,16675
94010,16250
44115,16100
33149,16055
22308,15800
87107,15075
20016,15000
55306,15000
53066,14900
19044,14625
85755,14290
60467,14100
31626,14000
94022,13700
20007,13075
32082,12985
19607,12800
60010,12665
